Date,Subject,Snippet,Prediction,Confidence,Source
2026-01-27 11:57:28.772220,Manual Scan,"TBO VOYAGEHACK 3.0
Hi Unstoppable,

You’ve already",Spam,92.32,Manual
2026-01-27 11:38:16.353419,Manual Scan,"

Dear MUDUNURI NAGA KALI PRANEETH VARMA,

﻿

Plea",Ham,73.48630465340847,Manual
2026-01-27 10:36:24.481740,Manual Scan,🚀 Transform Your Career with Our Exclusive Trainin,Ham,91.64820326473875,Manual
2026-01-27 10:35:48.657219,Manual Scan,CONGRATULATIONS YOUR PROFILE SHORTLISTED FOR AICTE,Ham,70.43014133222991,Manual
2026-01-27 10:35:26.991336,Manual Scan,"Dear Students,

We are excited to inform you that ",Ham,85.88574981565453,Manual
2026-01-27 02:39:56.038807,Manual Scan,"URGENT: CONGRATULATIONS! YOU HAVE WON $1,000,000 D",Spam,99.9999842230266,Manual
2026-01-27 02:38:45.662172,Manual Scan,"
Hey,
Are we still meeting tomorrow? I have the do",Ham,98.86620887758644,Manual
2026-01-27 02:37:11.272604,Manual Scan,"
Hey,
Are we still meeting tomorrow? I have the do",Ham,99.99821659681828,Manual
2026-01-27 02:37:01.342063,Manual Scan,"
Hey,
Are we still meeting tomorrow? I have the do",Ham,99.99821659681828,Manual
2026-01-27 02:36:02.847637,Manual Scan,"Hi Sarah,

Are we still on for lunch tomorrow at 1",Ham,99.99999957103738,Manual
2026-01-27 02:35:56.936402,Manual Scan,"Hi Sarah,

Are we still on for lunch tomorrow at 1",Ham,99.99999957103738,Manual
2026-01-27 02:35:46.923929,Manual Scan,"Hi Sarah,

Are we still on for lunch tomorrow at 1",Ham,99.99999957103738,Manual
2026-01-27 02:35:40.962477,Manual Scan,"Hi Sarah,

Are we still on for lunch tomorrow at 1",Ham,99.99999957103738,Manual
2026-01-27 02:23:53.990941,Manual Scan,"Hi Sarah,

Are we still on for lunch tomorrow at 1",Ham,99.99999957103738,Manual
